timestamp_iso,raw,voltage
2025-12-20T15:37:46.683612,13250,1.66
2025-12-20T15:37:46.707143,13242,1.66
2025-12-20T15:37:46.735171,13269,1.66
2025-12-20T15:37:46.763291,13242,1.66
2025-12-20T15:37:46.788447,13248,1.66
2025-12-20T15:37:46.816368,13271,1.66
2025-12-20T15:37:46.844481,13228,1.65
2025-12-20T15:37:46.869501,13254,1.66
2025-12-20T15:37:46.898324,13271,1.66
2025-12-20T15:37:46.928241,13223,1.65
2025-12-20T15:37:46.950689,13257,1.66
2025-12-20T15:37:46.978865,13267,1.66
2025-12-20T15:37:47.006884,13220,1.65
2025-12-20T15:37:47.032529,13260,1.66
2025-12-20T15:37:47.059996,13258,1.66
2025-12-20T15:37:47.088325,13218,1.65
2025-12-20T15:37:47.113096,13265,1.66
2025-12-20T15:37:47.141424,13246,1.66
2025-12-20T15:37:47.169295,13226,1.65
2025-12-20T15:37:47.194377,13270,1.66
2025-12-20T15:37:47.222424,13236,1.65
2025-12-20T15:37:47.250557,13235,1.65
2025-12-20T15:37:47.278111,13272,1.66
2025-12-20T15:37:47.303580,13225,1.65
2025-12-20T15:37:47.331775,13243,1.66
2025-12-20T15:37:47.356687,13275,1.66
2025-12-20T15:37:47.385154,13211,1.65
2025-12-20T15:37:47.412906,13250,1.66
2025-12-20T15:37:47.440345,13273,1.66
2025-12-20T15:37:47.465994,13201,1.65
2025-12-20T15:37:47.494068,13258,1.66
2025-12-20T15:37:47.519089,13267,1.66
2025-12-20T15:37:47.548649,13195,1.65
2025-12-20T15:37:47.578820,13265,1.66
2025-12-20T15:37:47.600812,13254,1.66
2025-12-20T15:37:47.628511,13196,1.65
2025-12-20T15:37:47.656475,13271,1.66
2025-12-20T15:37:47.681631,13233,1.65
2025-12-20T15:37:47.709614,13204,1.65
2025-12-20T15:37:47.738910,13278,1.66
2025-12-20T15:37:47.762637,13211,1.65
2025-12-20T15:37:47.791238,13220,1.65
2025-12-20T15:37:47.818908,13286,1.66
2025-12-20T15:37:47.843886,13201,1.65
2025-12-20T15:37:47.871993,13239,1.65
2025-12-20T15:37:47.900071,13288,1.66
2025-12-20T15:37:47.928543,13183,1.65
2025-12-20T15:37:47.953187,13250,1.66
2025-12-20T15:37:47.981371,13282,1.66
2025-12-20T15:37:48.006255,13169,1.65
2025-12-20T15:37:48.035289,13267,1.66
2025-12-20T15:37:48.062500,13272,1.66
2025-12-20T15:37:48.088616,13175,1.65
2025-12-20T15:37:48.115590,13281,1.66
2025-12-20T15:37:48.144156,13251,1.66
2025-12-20T15:37:48.168669,13186,1.65
2025-12-20T15:37:48.200475,13286,1.66
2025-12-20T15:37:48.228426,13224,1.65
2025-12-20T15:37:48.249857,13196,1.65
2025-12-20T15:37:48.279224,13297,1.66
2025-12-20T15:37:48.306063,13197,1.65
2025-12-20T15:37:48.331892,13216,1.65
2025-12-20T15:37:48.359166,13303,1.66
2025-12-20T15:37:48.389071,13173,1.65
2025-12-20T15:37:48.412238,13244,1.66
2025-12-20T15:37:48.440343,13307,1.66
2025-12-20T15:37:48.468466,13164,1.65
2025-12-20T15:37:48.493808,13263,1.66
2025-12-20T15:37:48.521565,13296,1.66
2025-12-20T15:37:48.549907,13157,1.64
2025-12-20T15:37:48.578856,13280,1.66
2025-12-20T15:37:48.602723,13275,1.66
2025-12-20T15:37:48.631025,13154,1.64
2025-12-20T15:37:48.655836,13293,1.66
2025-12-20T15:37:48.685299,13241,1.66
2025-12-20T15:37:48.712056,13170,1.65
2025-12-20T15:37:48.739076,13308,1.66
2025-12-20T15:37:48.765147,13216,1.65
2025-12-20T15:37:48.793293,13199,1.65
2025-12-20T15:37:48.818225,13317,1.66
2025-12-20T15:37:48.846329,13177,1.65
2025-12-20T15:37:48.874449,13225,1.65
2025-12-20T15:37:48.900917,13322,1.67
2025-12-20T15:37:48.929722,13161,1.65
2025-12-20T15:37:48.955585,13252,1.66
2025-12-20T15:37:48.980753,13316,1.66
2025-12-20T15:37:49.008744,13145,1.64
2025-12-20T15:37:49.041204,13271,1.66
2025-12-20T15:37:49.061843,13300,1.66
2025-12-20T15:37:49.090084,13141,1.64
2025-12-20T15:37:49.118021,13294,1.66
2025-12-20T15:37:49.143374,13272,1.66
2025-12-20T15:37:49.171097,13152,1.64
2025-12-20T15:37:49.201610,13306,1.66
2025-12-20T15:37:49.224200,13235,1.65
2025-12-20T15:37:49.252295,13172,1.65
2025-12-20T15:37:49.280933,13323,1.67
2025-12-20T15:37:49.305364,13205,1.65
2025-12-20T15:37:49.334305,13200,1.65
2025-12-20T15:37:49.361639,13333,1.67
2025-12-20T15:37:49.387049,13181,1.65
2025-12-20T15:37:49.414716,13239,1.65
2025-12-20T15:37:49.443478,13335,1.67
2025-12-20T15:37:49.467850,13154,1.64
2025-12-20T15:37:49.496145,13263,1.66
2025-12-20T15:37:49.523954,13322,1.67
2025-12-20T15:37:49.551726,13132,1.64
2025-12-20T15:37:49.578653,13285,1.66
2025-12-20T15:37:49.605146,13297,1.66
2025-12-20T15:37:49.630588,13128,1.64
2025-12-20T15:37:49.658269,13300,1.66
2025-12-20T15:37:49.688568,13265,1.66
2025-12-20T15:37:49.711381,13136,1.64
2025-12-20T15:37:49.739882,13319,1.66
2025-12-20T15:37:49.767551,13223,1.65
2025-12-20T15:37:49.793981,13162,1.65
2025-12-20T15:37:49.820652,13339,1.67
2025-12-20T15:37:49.850867,13188,1.65
2025-12-20T15:37:49.873725,13207,1.65
2025-12-20T15:37:49.901834,13349,1.67
2025-12-20T15:37:49.929987,13157,1.64
2025-12-20T15:37:49.954929,13246,1.66
2025-12-20T15:37:49.983212,13347,1.67
2025-12-20T15:37:50.011169,13144,1.64
2025-12-20T15:37:50.036512,13277,1.66
2025-12-20T15:37:50.064300,13329,1.67
2025-12-20T15:37:50.092563,13127,1.64
2025-12-20T15:37:50.117306,13296,1.66
2025-12-20T15:37:50.145498,13299,1.66
2025-12-20T15:37:50.173529,13137,1.64
2025-12-20T15:37:50.200819,13314,1.66
2025-12-20T15:37:50.229344,13269,1.66
2025-12-20T15:37:50.254709,13162,1.65
2025-12-20T15:37:50.280067,13327,1.67
2025-12-20T15:37:50.307794,13229,1.65
2025-12-20T15:37:50.335915,13193,1.65
2025-12-20T15:37:50.360944,13338,1.67
2025-12-20T15:37:50.389442,13191,1.65
2025-12-20T15:37:50.417104,13219,1.65
2025-12-20T15:37:50.442680,13339,1.67
2025-12-20T15:37:50.470176,13165,1.65
2025-12-20T15:37:50.501441,13252,1.66
2025-12-20T15:37:50.523242,13333,1.67
2025-12-20T15:37:50.551784,13144,1.64
2025-12-20T15:37:50.580469,13277,1.66
2025-12-20T15:37:50.604435,13317,1.66
2025-12-20T15:37:50.632593,13137,1.64
2025-12-20T15:37:50.660694,13293,1.66
2025-12-20T15:37:50.686370,13287,1.66
2025-12-20T15:37:50.713741,13139,1.64
2025-12-20T15:37:50.742460,13307,1.66
2025-12-20T15:37:50.766835,13251,1.66
2025-12-20T15:37:50.795236,13157,1.64
2025-12-20T15:37:50.823045,13321,1.67
2025-12-20T15:37:50.852315,13218,1.65
2025-12-20T15:37:50.877754,13191,1.65
2025-12-20T15:37:50.904216,13332,1.67
2025-12-20T15:37:50.929939,13181,1.65
2025-12-20T15:37:50.957317,13223,1.65
2025-12-20T15:37:50.986985,13336,1.67
2025-12-20T15:37:51.010400,13155,1.64
2025-12-20T15:37:51.040652,13254,1.66
2025-12-20T15:37:51.066612,13332,1.67
2025-12-20T15:37:51.092217,13138,1.64
2025-12-20T15:37:51.119686,13278,1.66
2025-12-20T15:37:51.151865,13311,1.66
2025-12-20T15:37:51.172763,13131,1.64
2025-12-20T15:37:51.201650,13295,1.66
2025-12-20T15:37:51.230686,13280,1.66
2025-12-20T15:37:51.253976,13142,1.64
2025-12-20T15:37:51.282383,13312,1.66
2025-12-20T15:37:51.310178,13247,1.66
2025-12-20T15:37:51.335422,13161,1.65
2025-12-20T15:37:51.363285,13325,1.67
2025-12-20T15:37:51.391521,13211,1.65
2025-12-20T15:37:51.416322,13196,1.65
2025-12-20T15:37:51.445494,13339,1.67
2025-12-20T15:37:51.472537,13182,1.65
2025-12-20T15:37:51.501557,13230,1.65
2025-12-20T15:37:51.525882,13338,1.67
2025-12-20T15:37:51.553729,13155,1.64
2025-12-20T15:37:51.580450,13261,1.66
2025-12-20T15:37:51.606850,13330,1.67
2025-12-20T15:37:51.636251,13135,1.64
2025-12-20T15:37:51.659904,13281,1.66
2025-12-20T15:37:51.690726,13310,1.66
2025-12-20T15:37:51.716095,13136,1.64
2025-12-20T15:37:51.741869,13299,1.66
2025-12-20T15:37:51.769174,13280,1.66
2025-12-20T15:37:51.797271,13145,1.64
2025-12-20T15:37:51.822292,13314,1.66
2025-12-20T15:37:51.851967,13247,1.66
2025-12-20T15:37:51.880566,13168,1.65
2025-12-20T15:37:51.903475,13328,1.67
2025-12-20T15:37:51.932158,13194,1.65
2025-12-20T15:37:51.959682,13157,1.64
2025-12-20T15:37:51.986014,13289,1.66
2025-12-20T15:37:52.012753,12109,1.51
2025-12-20T15:37:52.041419,12810,1.6
2025-12-20T15:37:52.065874,13403,1.68
2025-12-20T15:37:52.095345,11765,1.47
2025-12-20T15:37:52.122053,13307,1.66
2025-12-20T15:37:52.147064,13424,1.68
